text,true_emotion,pred_emotion,true_sub_emotion,pred_sub_emotion,true_intensity,pred_intensity,emotion_correct,sub_emotion_correct,intensity_correct,all_correct
Much better.,happiness,happiness,approval,desire,moderate,mild,True,False,False,False
"So much better, good job.",happiness,happiness,approval,remorse,moderate,mild,True,False,False,False
My shoot is like a rollercoaster ride.,happiness,happiness,excitement,confusion,moderate,moderate,True,False,True,False
"It's like Miss Karen, Miss Indira,",neutral,neutral,neutral,disapproval,mild,mild,True,False,True,False
"they like it, they don't.",surprise,disgust,confusion,disgust,mild,mild,False,False,True,False
My goal now is just to survive.,happiness,happiness,optimism,remorse,moderate,moderate,True,False,True,False
I'm gonna try to like climb on top,happiness,happiness,curiosity,confusion,mild,mild,True,False,True,False
when there's just fewer girls.,neutral,neutral,neutral,desire,mild,mild,True,False,True,False
Lady!,surprise,surprise,surprise,confusion,mild,mild,True,False,True,False
"1, 2, 3, go.",happiness,happiness,excitement,confusion,mild,mild,True,False,True,False
I like the energy.,happiness,happiness,approval,disapproval,moderate,mild,True,False,False,False
Yes!,happiness,happiness,excitement,confusion,moderate,moderate,True,False,True,False
I don't think I can win Best Photographer.,sadness,disgust,disappointment,disgust,mild,mild,False,False,True,False
"I see Heidi do it really, really well.",happiness,happiness,admiration,disgust,moderate,mild,True,False,False,False
Beautiful.,happiness,happiness,admiration,disgust,moderate,mild,True,False,False,False
That one's beautiful.,happiness,happiness,admiration,disgust,moderate,mild,True,False,False,False
"She's like a stallion,",happiness,happiness,admiration,disgust,moderate,mild,True,False,False,False
like a galloping stallion in this one.,happiness,happiness,admiration,annoyance,moderate,mild,True,False,False,False
That's amazing.,happiness,happiness,admiration,confusion,moderate,moderate,True,False,True,False
I'm getting great feedback at this moment.,happiness,happiness,joy,remorse,moderate,moderate,True,False,True,False
Whoa!,surprise,surprise,surprise,confusion,moderate,mild,True,False,False,False
"If I trip and it's a good picture,",happiness,happiness,optimism,remorse,mild,mild,True,False,True,False
it will be worth it.,happiness,happiness,optimism,remorse,mild,moderate,True,False,False,False
"Nice, I like that!",happiness,happiness,approval,disgust,moderate,mild,True,False,False,False
Thank you so much.,happiness,happiness,gratitude,disgust,moderate,mild,True,False,False,False
I'm so happy I'm before Veronica.,happiness,happiness,relief,confusion,moderate,moderate,True,False,True,False
"Photo shoot is more my thing,",happiness,happiness,pride,remorse,moderate,mild,True,False,False,False
so she can learn from me.,happiness,happiness,pride,remorse,mild,mild,True,False,True,False
"Okay, ready, 1, 2, 3, go.",happiness,neutral,excitement,desire,mild,mild,False,False,True,False
"Very chin down right now, okay?",neutral,neutral,neutral,disapproval,mild,mild,True,False,True,False
It's making you look very angry.,disgust,anger,disapproval,disgust,mild,strong,False,False,False,False
Try to relax your jaw a little bit.,happiness,happiness,caring,disapproval,mild,mild,True,False,True,False
"Use your arms, change the angle of the face.",happiness,neutral,caring,desire,mild,mild,False,False,True,False
"When I remember to put my chin up,",surprise,neutral,confusion,pride,mild,mild,False,False,True,False
I forget about the mouth.,surprise,surprise,confusion,pride,mild,mild,True,False,True,False
And then when I remember the chin and the mouth,surprise,surprise,confusion,pride,mild,mild,True,False,True,False
I comment about the eyes.,surprise,happiness,confusion,disgust,mild,mild,False,False,True,False
There's always something.,anger,neutral,annoyance,disapproval,mild,mild,False,False,True,False
"1, 2, 3, and go.",happiness,neutral,excitement,desire,mild,mild,False,False,True,False
"Yes, there you go.",happiness,neutral,approval,remorse,moderate,mild,False,False,False,False
Chicken!,surprise,neutral,surprise,confusion,mild,mild,False,False,True,False
I'm feeling very hot in the jacket.,neutral,neutral,neutral,disapproval,mild,mild,True,False,True,False
It's really constricting my movements as well.,anger,anger,annoyance,disgust,mild,moderate,True,False,False,False
"Where are you going, honey?",happiness,happiness,curiosity,pride,mild,mild,True,False,True,False
Tame the hands.,happiness,neutral,caring,disapproval,mild,mild,False,False,True,False
You can have a trail behind you,neutral,neutral,neutral,desire,mild,mild,True,False,True,False
"to give it a little bit more length,",neutral,neutral,neutral,disapproval,mild,mild,True,False,True,False
but don't bring it up too much.,neutral,neutral,neutral,disapproval,mild,mild,True,False,True,False
You look like Lady Gaga.,happiness,happiness,amusement,confusion,mild,mild,True,False,True,False
"Yes, yes, yes, good.",happiness,happiness,approval,remorse,moderate,mild,True,False,False,False
Let's try jumping in.,happiness,happiness,excitement,confusion,mild,mild,True,False,True,False
"Good, a little bit less.",happiness,neutral,approval,pride,mild,mild,False,False,True,False
"Okay, 1, 2, 3, go.",happiness,neutral,excitement,desire,mild,mild,False,False,True,False
Almost.,sadness,neutral,disappointment,disapproval,mild,mild,False,False,True,False
"Namita, let's see what you got, girlfriend.",neutral,happiness,neutral,desire,mild,mild,False,False,True,False
"Everyone set such a high bar,",fear,happiness,nervousness,disgust,moderate,mild,False,False,False,False
"and I was just like, oh, shit, crap, okay.",surprise,surprise,surprise,confusion,mild,mild,True,False,True,False
Watch that duck face.,happiness,happiness,amusement,disgust,mild,mild,True,False,True,False
"Careful of your eyes, you're looking really bug-eyed.",neutral,neutral,neutral,disapproval,mild,mild,True,False,True,False
So my confidence kind of just went...,sadness,sadness,disappointment,pride,moderate,mild,True,False,False,False
"Keep doing what you're doing with your body,",happiness,neutral,approval,disapproval,mild,mild,False,False,True,False
but your head needs to come forward.,neutral,neutral,neutral,disapproval,mild,mild,True,False,True,False
"Yes, better, better, much better.",happiness,happiness,approval,desire,moderate,mild,True,False,False,False
That one's amazing.,happiness,happiness,admiration,disgust,moderate,moderate,True,False,True,False
When I finally got into the momentum,happiness,happiness,relief,remorse,mild,moderate,True,False,False,False
"and when I finally got what they were asking for,",surprise,surprise,realization,pride,mild,mild,True,False,True,False
it was kind of too late.,sadness,sadness,disappointment,joy,mild,mild,True,False,True,False
"Well done, Veronica!",happiness,happiness,approval,disgust,moderate,mild,True,False,False,False
"Between me and Valerie, it's really complicated",surprise,surprise,confusion,pride,mild,mild,True,False,True,False
because we're twins.,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
"It's a competition, but we're still connected, right?",neutral,happiness,neutral,desire,mild,mild,False,False,True,False
"So I want her to do good, but I want to do better.",happiness,happiness,desire,disapproval,moderate,moderate,True,False,True,False
"3, 2, 1, go.",neutral,happiness,neutral,confusion,mild,mild,False,False,True,False
"Nice, that was a nice shape there.",happiness,happiness,approval,disgust,mild,mild,True,False,True,False
That was amazing.,happiness,happiness,admiration,confusion,moderate,moderate,True,False,True,False
"3, go.",neutral,neutral,neutral,confusion,mild,mild,True,False,True,False
It's hard to tell if you're smiling or not.,surprise,surprise,confusion,pride,mild,mild,True,False,True,False
"The pose is good,",happiness,happiness,approval,disgust,mild,mild,True,False,True,False
I just have to pay more attention up here.,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
So I do like...,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
To loosen up.,neutral,neutral,neutral,disapproval,mild,mild,True,False,True,False
I really enjoyed the photo shoot.,happiness,happiness,joy,confusion,moderate,moderate,True,False,True,False
"Last frame, you are done.",happiness,neutral,relief,remorse,mild,mild,False,False,True,False
Good job.,happiness,happiness,approval,remorse,mild,mild,True,False,True,False
Cindy!,neutral,neutral,neutral,confusion,mild,mild,True,False,True,False
I don't have much experience of taking photo shoots.,neutral,neutral,neutral,remorse,mild,mild,True,False,True,False
"I have a lot of thoughts,",happiness,neutral,curiosity,pride,mild,mild,False,False,True,False
I have many plans for different kinds of posing.,happiness,happiness,optimism,desire,mild,mild,True,False,True,False
A little bit more energy in your face.,neutral,neutral,neutral,disapproval,mild,mild,True,False,True,False
"Once I step on the set, all the plans just deleted.",anger,neutral,annoyance,joy,moderate,mild,False,False,False,False
"Right now, your outfit, everything is so dramatic,",happiness,happiness,admiration,confusion,mild,mild,True,False,True,False
but your face is still too sweet.,disgust,disgust,disapproval,disgust,mild,mild,True,False,True,False
"I need more fierce, okay?",happiness,happiness,desire,confusion,moderate,moderate,True,False,True,False
"Well, give me a fierce, give me like you're angry.",neutral,anger,neutral,disgust,mild,moderate,False,False,False,False
That's angry?,surprise,surprise,confusion,confusion,mild,mild,True,True,True,True
More angry.,anger,anger,anger,disgust,mild,strong,True,False,False,False
I thought I can be fierce.,neutral,happiness,neutral,confusion,mild,mild,False,False,True,False
Show me happy.,neutral,happiness,neutral,confusion,mild,mild,False,False,True,False
Happy.,neutral,happiness,neutral,desire,mild,mild,False,False,True,False
Serious.,neutral,anger,neutral,disgust,mild,mild,False,False,True,False
Angry.,anger,anger,anger,disgust,mild,strong,True,False,False,False
Your face did not change from serious to angry at all.,surprise,anger,confusion,disgust,mild,moderate,False,False,False,False
"Obviously, it's not working.",sadness,sadness,disappointment,disgust,moderate,moderate,True,False,True,False
Let's do some other emotions.,happiness,happiness,curiosity,pride,mild,mild,True,False,True,False
"What are you doing, Cindy?",surprise,happiness,confusion,pride,mild,mild,False,False,True,False
"Sorry, not you.",fear,neutral,embarrassment,disapproval,mild,mild,False,False,True,False
This is so awkward and embarrassing.,fear,anger,embarrassment,disgust,moderate,moderate,False,False,True,False
I put that embarrassing thing aside,happiness,happiness,relief,remorse,mild,moderate,True,False,False,False
and then focus on my photo shoot.,neutral,neutral,neutral,remorse,mild,mild,True,False,True,False
Yes.,happiness,neutral,approval,remorse,mild,mild,False,False,True,False
"Change, good.",happiness,happiness,approval,desire,mild,mild,True,False,True,False
"Okay, last one, walk across here, look back.",neutral,neutral,neutral,desire,mild,mild,True,False,True,False
Nice.,happiness,happiness,approval,disgust,mild,mild,True,False,True,False
All right.,neutral,neutral,neutral,desire,mild,mild,True,False,True,False
Maureen.,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
Let's go.,neutral,happiness,neutral,confusion,mild,moderate,False,False,False,False
"Because you're quite little,",neutral,neutral,neutral,annoyance,mild,mild,True,False,True,False
you're going to have to stride a lot more.,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
Lean towards the camera a little bit and relax your neck.,neutral,neutral,neutral,disapproval,mild,mild,True,False,True,False
It's just the beginning,neutral,neutral,neutral,remorse,mild,mild,True,False,True,False
"and the judges already have to help me a lot,",fear,happiness,nervousness,remorse,moderate,moderate,False,False,True,False
so I feel pressured.,fear,fear,nervousness,surprise,moderate,moderate,True,False,True,False
I liked your attitude on the catwalk.,happiness,happiness,approval,disgust,mild,mild,True,False,True,False
"Where's that attitude today, girlfriend?",sadness,sadness,disappointment,disgust,mild,mild,True,False,True,False
It's so hard.,anger,anger,annoyance,confusion,moderate,moderate,True,False,True,False
I have no idea what I'm doing.,surprise,surprise,confusion,confusion,moderate,moderate,True,True,True,True
So let's do more where it's like...,happiness,happiness,curiosity,desire,mild,mild,True,False,True,False
"Come on, I need this shot.",fear,happiness,fear,disapproval,moderate,moderate,False,False,True,False
"When everything comes together, Maureen,",happiness,happiness,optimism,desire,mild,mild,True,False,True,False
you look spectacular.,happiness,happiness,admiration,disgust,moderate,mild,True,False,False,False
"Alicia, your time starts now.",neutral,neutral,neutral,disapproval,mild,mild,True,False,True,False
"Damn, girl.",happiness,anger,admiration,disgust,mild,moderate,False,False,False,False
"Jump off the bridge, please.",surprise,fear,confusion,surprise,moderate,moderate,False,False,True,False
Stay on the bridge.,neutral,neutral,neutral,disapproval,mild,mild,True,False,True,False
So I come in with too much energy.,surprise,happiness,realization,pride,mild,mild,False,False,True,False
A lot of them are booty shots.,neutral,happiness,neutral,annoyance,mild,mild,False,False,True,False
I don't know.,surprise,surprise,confusion,pride,mild,mild,True,False,True,False
"That's an impression for sure,",neutral,neutral,neutral,pride,mild,mild,True,False,True,False
"but good impression, bad impression.",surprise,sadness,confusion,disgust,mild,mild,False,False,True,False
30 seconds.,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
At least I followed the brief.,happiness,happiness,relief,remorse,mild,mild,True,False,True,False
"Layla, you have 10 minutes.",neutral,neutral,neutral,disapproval,mild,mild,True,False,True,False
A little bit more energy.,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
You just need to time that by 100.,neutral,neutral,neutral,disapproval,mild,mild,True,False,True,False
"2, 3.",neutral,neutral,neutral,pride,mild,mild,True,False,True,False
She's not even trying at all.,disgust,disgust,disapproval,disgust,moderate,moderate,True,False,True,False
It's a competition.,neutral,neutral,neutral,confusion,mild,mild,True,False,True,False
Your nerves are like...,fear,fear,nervousness,disapproval,mild,moderate,True,False,False,False
A little bit of variation.,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
Move your arms around.,neutral,neutral,neutral,surprise,mild,mild,True,False,True,False
We've got that one.,happiness,happiness,approval,desire,mild,moderate,True,False,False,False
You okay honey?,happiness,happiness,caring,desire,moderate,mild,True,False,False,False
"This is like my first time, so",fear,happiness,nervousness,confusion,mild,moderate,False,False,False,False
"I just feel like, I don't know.",surprise,surprise,confusion,pride,moderate,mild,True,False,False,False
This is a competition.,neutral,neutral,neutral,confusion,mild,mild,True,False,True,False
We're supposed not to break down,happiness,surprise,optimism,pride,moderate,mild,False,False,False,False
"the very first time, right?",fear,fear,nervousness,confusion,mild,mild,True,False,True,False
"If Layla cannot take in the first week,",neutral,neutral,neutral,disapproval,mild,mild,True,False,True,False
how about the next week and the next week?,happiness,neutral,curiosity,desire,mild,mild,False,False,True,False
"Hey, do you not want to be here?",happiness,happiness,curiosity,confusion,mild,mild,True,False,True,False
Layla? What's going on?,happiness,surprise,curiosity,confusion,mild,mild,False,False,True,False
I don't know.,surprise,surprise,confusion,pride,moderate,mild,True,False,False,False
It's just this thing that comes over.,surprise,surprise,confusion,confusion,moderate,mild,True,True,False,False
Do you want,happiness,happiness,curiosity,desire,mild,mild,True,False,True,False
to be here?,happiness,happiness,curiosity,confusion,mild,mild,True,False,True,False
"Let me hear you say, I want to be here.",happiness,happiness,curiosity,confusion,mild,moderate,True,False,False,False
"Please, that's what I want to hear you say.",happiness,happiness,desire,disapproval,moderate,mild,True,False,False,False
I don't know what to say.,surprise,surprise,confusion,confusion,moderate,moderate,True,True,True,True
You can't answer me?,anger,anger,annoyance,confusion,moderate,mild,True,False,False,False
Do you want to try again?,neutral,happiness,neutral,desire,mild,mild,False,False,True,False
No?,sadness,surprise,disappointment,confusion,mild,mild,False,False,True,False
I'm sorry to hear that.,neutral,sadness,neutral,joy,mild,mild,False,False,True,False
"Two, you're up.",neutral,neutral,neutral,disapproval,mild,mild,True,False,True,False
"Ready, one, two, three, go.",happiness,happiness,excitement,disapproval,mild,mild,True,False,True,False
Wow.,surprise,surprise,surprise,confusion,mild,mild,True,False,True,False
That was really cool.,happiness,happiness,admiration,confusion,moderate,moderate,True,False,True,False
Whoa.,surprise,surprise,surprise,confusion,mild,mild,True,False,True,False
When I focus,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
"in the shoes,",neutral,neutral,neutral,pride,mild,mild,True,False,True,False
I really forget anything about me.,happiness,neutral,relief,disapproval,mild,mild,False,False,True,False
Wait.,surprise,neutral,surprise,confusion,mild,mild,False,False,True,False
Only a few instances,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
"where you get to tell a photographer,",neutral,happiness,neutral,annoyance,mild,mild,False,False,True,False
"wait, we'll give you this one.",neutral,neutral,neutral,pride,mild,mild,True,False,True,False
"When I jump,",neutral,happiness,neutral,confusion,mild,mild,False,False,True,False
I need to wait to get the energy,neutral,neutral,neutral,disapproval,mild,mild,True,False,True,False
to do it again.,neutral,neutral,neutral,disapproval,mild,mild,True,False,True,False
Go.,happiness,neutral,excitement,remorse,mild,mild,False,False,True,False
"It's awkward, but it's kind of amazing.",happiness,happiness,amusement,confusion,mild,mild,True,False,True,False
"One, two,",neutral,neutral,neutral,pride,mild,mild,True,False,True,False
"three, go.",happiness,neutral,excitement,confusion,mild,mild,False,False,True,False
You tell me when I,fear,happiness,nervousness,pride,mild,mild,False,False,True,False
go. You tell me.,fear,happiness,nervousness,surprise,mild,mild,False,False,True,False
It got a bit tense when two were shooting.,fear,fear,nervousness,surprise,moderate,moderate,True,False,True,False
Every professional knows that,neutral,neutral,neutral,remorse,mild,mild,True,False,True,False
when you,neutral,neutral,neutral,desire,mild,mild,True,False,True,False
are a bit too firm over and over,disgust,disgust,disapproval,disgust,mild,mild,True,False,True,False
"again with someone,",disgust,neutral,disapproval,disapproval,mild,mild,False,True,True,False
it might look rude.,disgust,disgust,disapproval,disgust,moderate,mild,True,False,False,False
"When he's ready,",neutral,neutral,neutral,remorse,mild,mild,True,False,True,False
you need to be ready too.,neutral,neutral,neutral,remorse,mild,mild,True,False,True,False
"Dorothy,",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
I feel like you have the same issue as Cindy.,neutral,neutral,neutral,disgust,mild,mild,True,False,True,False
"You both have gorgeous, sweet faces.",happiness,happiness,admiration,annoyance,mild,mild,True,False,True,False
I need some more fierceness.,happiness,happiness,desire,disapproval,moderate,moderate,True,False,True,False
This competition for model,neutral,happiness,neutral,pride,mild,mild,False,False,True,False
is not for,neutral,sadness,neutral,disgust,mild,mild,False,False,True,False
"hot girl, not for beautiful thing.",disgust,disgust,disapproval,disgust,mild,moderate,True,False,False,False
It's not,neutral,neutral,neutral,embarrassment,mild,mild,True,False,True,False
because you cannot do it.,neutral,disgust,neutral,disgust,mild,mild,False,False,True,False
So after talking to,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
"two, I think that",neutral,neutral,neutral,pride,mild,mild,True,False,True,False
I feel so much better,happiness,happiness,relief,desire,moderate,moderate,True,False,True,False
and I want to continue this.,happiness,happiness,optimism,remorse,moderate,moderate,True,False,True,False
I want to continue,happiness,happiness,optimism,remorse,moderate,moderate,True,False,True,False
running in this competition.,happiness,happiness,optimism,annoyance,moderate,mild,True,False,False,False
So I heard you're going to give it another go.,happiness,happiness,optimism,desire,moderate,mild,True,False,False,False
I'm so proud of you.,happiness,happiness,pride,confusion,moderate,moderate,True,False,True,False
Don't be sorry if you don't do it again.,neutral,happiness,neutral,disapproval,mild,mild,False,False,True,False
Let's go. You've got three minutes.,happiness,neutral,excitement,disapproval,moderate,mild,False,False,False,False
Let's go.,happiness,happiness,excitement,confusion,mild,moderate,True,False,False,False
"One, two, three, go.",happiness,happiness,excitement,confusion,mild,mild,True,False,True,False
Energy is amazing.,happiness,happiness,excitement,confusion,moderate,moderate,True,False,True,False
"You don't have to do much, girl.",neutral,anger,neutral,disapproval,mild,mild,False,False,True,False
You look like you're jumping already,happiness,happiness,amusement,confusion,mild,mild,True,False,True,False
because you're so tall and skinny.,happiness,happiness,amusement,disgust,mild,mild,True,False,True,False
"Three, go.",neutral,neutral,neutral,confusion,mild,mild,True,False,True,False
"One, two, three, go.",neutral,happiness,neutral,confusion,mild,mild,False,False,True,False
I feel my mind is clearer now.,happiness,happiness,relief,desire,moderate,mild,True,False,False,False
Turn your face a little bit this way.,neutral,neutral,neutral,disapproval,mild,mild,True,False,True,False
"If I'm running for the competition still,",happiness,happiness,optimism,desire,moderate,moderate,True,False,True,False
I would try my best,happiness,happiness,optimism,remorse,moderate,mild,True,False,False,False
and continue to run,happiness,neutral,optimism,disgust,moderate,mild,False,False,False,False
for this competition.,happiness,happiness,optimism,remorse,moderate,moderate,True,False,True,False
Time's up. Good job.,happiness,happiness,approval,remorse,mild,mild,True,False,True,False
"Welcome, ladies,",neutral,neutral,neutral,remorse,mild,mild,True,False,True,False
to your very first elimination.,fear,fear,nervousness,realization,moderate,moderate,True,False,True,False
To say this week has been eventful,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
would be an understatement.,neutral,neutral,neutral,remorse,mild,mild,True,False,True,False
"Now, before we determine",neutral,neutral,neutral,pride,mild,mild,True,False,True,False
who's moving on,happiness,happiness,curiosity,desire,mild,mild,True,False,True,False
"and who's moving out,",happiness,happiness,curiosity,desire,mild,mild,True,False,True,False
let me first introduce you to your judges.,neutral,neutral,neutral,desire,mild,mild,True,False,True,False
"First up, the ever-radiant",happiness,happiness,admiration,annoyance,mild,mild,True,False,True,False
"model, actress, and Miss Universe",happiness,happiness,admiration,annoyance,mild,mild,True,False,True,False
"2015, Pia Wurtzbach.",happiness,neutral,admiration,pride,mild,mild,False,False,True,False
"Hi, girls.",neutral,neutral,neutral,remorse,mild,mild,True,False,True,False
He was your photographer,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
"for your very first photo challenge,",neutral,neutral,neutral,desire,mild,mild,True,False,True,False
Joel Lim.,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
Ladies.,neutral,neutral,neutral,remorse,mild,mild,True,False,True,False
"And let's not forget your model mentor,",neutral,happiness,neutral,remorse,mild,mild,False,False,True,False
"Hey, girls.",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"Now, ladies, each of you standing here",neutral,neutral,neutral,disapproval,mild,mild,True,False,True,False
before us was hand-picked from,happiness,happiness,pride,pride,mild,mild,True,True,True,True
all across Asia.,happiness,happiness,pride,remorse,mild,mild,True,False,True,False
You're here because we believe that each and,happiness,happiness,approval,remorse,moderate,mild,True,False,False,False
every single one of you has a very good chance,happiness,happiness,optimism,remorse,moderate,mild,True,False,False,False
of winning this.,happiness,happiness,optimism,remorse,moderate,moderate,True,False,True,False
"And on that note, let's get to your prizes.",happiness,happiness,excitement,remorse,moderate,mild,True,False,False,False
The winner of Asia's Next Top Model,happiness,happiness,excitement,confusion,strong,moderate,True,False,False,False
will be driving home a brand-new,happiness,happiness,excitement,confusion,moderate,moderate,True,False,True,False
Subaru Impreza.,happiness,neutral,excitement,pride,moderate,mild,False,False,False,False
She will feature in a fashion spread and rock,happiness,happiness,excitement,confusion,moderate,mild,True,False,False,False
the cover of Nylon Singapore.,happiness,happiness,excitement,confusion,moderate,mild,True,False,False,False
And she will head to Europe for a chance,happiness,happiness,excitement,desire,moderate,mild,True,False,False,False
to be represented by one of the world's biggest,happiness,happiness,admiration,confusion,moderate,moderate,True,False,True,False
"modeling agencies, Storm Model",happiness,neutral,admiration,desire,moderate,mild,False,False,False,False
"Management, joining the likes of Kate Moss",happiness,happiness,admiration,annoyance,moderate,mild,True,False,False,False
and Cara Delevingne.,happiness,neutral,admiration,remorse,moderate,mild,False,False,False,False
"Now, this season, we will be combining your",neutral,neutral,neutral,desire,mild,mild,True,False,True,False
challenge scores to your photoshoot,neutral,happiness,neutral,desire,mild,mild,False,False,True,False
scores in order to determine who stays,neutral,neutral,neutral,desire,mild,mild,True,False,True,False
and who goes.,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
"Are you ready, ladies?",happiness,neutral,excitement,desire,mild,mild,False,False,True,False
Let's get started.,neutral,neutral,neutral,desire,mild,mild,True,False,True,False
"Can we have Alicia, please?",neutral,neutral,neutral,desire,mild,mild,True,False,True,False
"Well, let's take a look at your shot.",neutral,neutral,neutral,desire,mild,mild,True,False,True,False
You came on,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
with so much energy,happiness,happiness,admiration,disgust,moderate,mild,True,False,False,False
that at times you seem,neutral,disgust,neutral,disgust,mild,mild,False,False,True,False
completely out of control.,disgust,disgust,disapproval,disgust,moderate,moderate,True,False,True,False
I love your look.,happiness,happiness,admiration,disgust,moderate,mild,True,False,False,False
You have a masculinity about you,neutral,happiness,neutral,disgust,mild,mild,False,False,True,False
which can be your strength,happiness,happiness,approval,pride,mild,mild,True,False,True,False
if you use it right.,neutral,happiness,neutral,remorse,mild,mild,False,False,True,False
"Angelica, please.",neutral,neutral,neutral,disapproval,mild,mild,True,False,True,False
Your face is just,neutral,neutral,neutral,disgust,mild,mild,True,False,True,False
a bit dead. It's not really smiling.,sadness,sadness,disappointment,disgust,moderate,moderate,True,False,True,False
It's not really high fashion.,disgust,disgust,disapproval,disgust,moderate,mild,True,False,False,False
You let your nerves get the better of you.,disgust,anger,disapproval,disgust,moderate,moderate,False,False,True,False
I feel like this was a lucky,disgust,happiness,disapproval,remorse,mild,mild,False,False,True,False
shot for you.,neutral,neutral,neutral,disapproval,mild,mild,True,False,True,False
I love the shot from the head down.,happiness,happiness,admiration,confusion,moderate,mild,True,False,False,False
Your eyes are,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
almost dead. You're still so,sadness,sadness,disappointment,disgust,moderate,moderate,True,False,True,False
young and that's why you're not,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
being able to translate other,neutral,happiness,neutral,desire,mild,mild,False,False,True,False
emotions other than your typical,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
"sweet, your safe zone. Heidi.",neutral,happiness,neutral,remorse,mild,mild,False,False,True,False
"Looking at you right now, you look so sweet.",happiness,happiness,admiration,disgust,mild,mild,True,False,True,False
And then I look at this one and you just have,surprise,surprise,surprise,pride,mild,mild,True,False,True,False
so much emotion,happiness,happiness,admiration,confusion,moderate,mild,True,False,False,False
going through this photo.,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
"If you keep this up, you could be a dark horse in the",happiness,happiness,optimism,disapproval,moderate,moderate,True,False,True,False
competition. Thank you so much.,happiness,happiness,gratitude,disapproval,mild,mild,True,False,True,False
"Well done, Heidi. Next, can we have Clara, please?",happiness,happiness,approval,remorse,mild,mild,True,False,True,False
"You're daddy's little girl,",neutral,neutral,neutral,remorse,mild,mild,True,False,True,False
aren't you?,neutral,happiness,neutral,pride,mild,mild,False,False,True,False
"Yes, you are.",neutral,neutral,neutral,remorse,mild,mild,True,False,True,False
You are. He gives you,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
everything you want. You're spoiled,disgust,disgust,disapproval,disgust,moderate,moderate,True,False,True,False
but you're cheeky about it.,happiness,happiness,amusement,disgust,mild,mild,True,False,True,False
And that kind of works in this picture.,happiness,happiness,approval,desire,mild,mild,True,False,True,False
You're running away,neutral,fear,neutral,disapproval,mild,moderate,False,False,False,False
but you're looking back.,happiness,neutral,curiosity,pride,mild,mild,False,False,True,False
You're kind of acting coy but you're leading us on.,happiness,happiness,amusement,disgust,mild,mild,True,False,True,False
I really like it.,happiness,happiness,admiration,disgust,moderate,mild,True,False,False,False
It's very unexpected from the brief,surprise,surprise,surprise,confusion,mild,mild,True,False,True,False
and I like the unexpected. Dorothy.,happiness,happiness,admiration,confusion,mild,mild,True,False,True,False
You're also another sweet,happiness,happiness,admiration,disgust,mild,mild,True,False,True,False
face. We need a little bit more attitude,disgust,anger,disapproval,disapproval,mild,moderate,False,True,False,False
from you. We need fierce.,happiness,happiness,desire,disapproval,moderate,moderate,True,False,True,False
I feel like I've seen this post,happiness,surprise,curiosity,pride,mild,mild,False,False,True,False
a lot of times before.,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
You have a gorgeous face and this,happiness,happiness,admiration,disgust,moderate,mild,True,False,False,False
photo doesn't do,sadness,disgust,disappointment,disgust,mild,mild,False,False,True,False
justice. Jenica.,sadness,happiness,disappointment,remorse,mild,mild,False,False,True,False
It's not my favorite photo.,disgust,disgust,disapproval,disgust,mild,mild,True,False,True,False
This is one,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
of very few,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
that you're actually in frame.,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
Photographing you was like,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
me trying to give you a high five,happiness,happiness,amusement,confusion,mild,mild,True,False,True,False
but then it turns really awkward and we miss.,fear,sadness,embarrassment,confusion,mild,moderate,False,False,False,False
"We have to work together, alright?",happiness,happiness,caring,remorse,moderate,moderate,True,False,True,False
To sync up our timings.,neutral,neutral,neutral,desire,mild,mild,True,False,True,False
"Thank you. Can we have Leila, please?",happiness,happiness,gratitude,disapproval,mild,mild,True,False,True,False
This,neutral,neutral,neutral,pride,mild,mild,True,False,True,False
"photo, it's stunning",happiness,happiness,admiration,disgust,moderate,mild,True,False,False,False
but the process getting there,neutral,neutral,neutral,desire,mild,mild,True,False,True,False
