Start Time,End Time,Sentence,Corrected Sentence,Translation,Emotion,Intensity
"00:08:40,000","00:08:41,000",مشاع...والله,مشاع...والله,Mass ... Well,neutral,neutral
"00:08:41,000","00:08:42,000",مشاعر,مشاعر,feelings,neutral,neutral
"00:08:44,000","00:08:45,000",مشاعر,مشاعر,feelings,neutral,neutral
"00:08:45,000","00:08:47,000",كلميني روحي شوي تعالي تعالي,كلميني روحي شوي تعالي تعالي,Camen's spirituality,neutral,neutral
"00:08:48,000","00:08:49,000",تعالي والله,تعالي والله,Come on by God,excitement,mild
"00:08:50,000","00:08:51,000",تعالي نحكي شوي,تعالي نحكي شوي,Come tell Shui,curiosity,mild
"00:08:52,000","00:08:53,000",نحكي على ايه,نحكي على ايه,What we are talking about,confusion,mild
"00:08:53,000","00:08:54,000",انسيها انسيها تركيها,انسيها انسيها تركيها,"Forget her, forget her Turkish",annoyance,mild
"00:08:54,000","00:08:55,000",بقى انتي ضيفتي هلا,بقى انتي ضيفتي هلا,"You are my guest, Hala",neutral,neutral
"00:08:56,000","00:08:57,000",انا ضيفتك بس انتي فاجأتني,انا ضيفتك بس انتي فاجأتني,"I am your guest, but you surprised me",surprise,mild
"00:08:57,000","00:08:59,000",انا ما بحبش المفاجآت زي كده,انا ما بحبش المفاجآت زي كده,انا ما بحبش المفاجآت زي كده,annoyance,moderate
"00:08:59,000","00:09:00,000",موجودة عالشاشة بعيدة,موجودة عالشاشة بعيدة,It is on a distant screen,neutral,neutral
"00:09:00,000","00:09:01,000",شو بدك فيها,شو بدك فيها,What do you want in it?,curiosity,mild
"00:09:02,000","00:09:03,000",بس انا ما بحبش المفاجآت,بس انا ما بحبش المفاجآت,But I don’t like surprises,annoyance,moderate
"00:09:03,000","00:09:04,000",يا ستي,يا ستي,O City,neutral,neutral
"00:09:04,000","00:09:06,000",لما تبقى زي كده بالذات ما بتعجبنيش,لما تبقى زي كده بالذات ما بتعجبنيش,"When it remains like this, it does not like it",disapproval,mild
"00:09:06,000","00:09:07,000",ماعليش بس حطيها بصحيها بدأني,ماعليش بس حطيها بصحيها بدأني,I don’t want to put it in her health,neutral,neutral
"00:09:07,000","00:09:08,000",اتفضل,اتفضل,Prefer,neutral,neutral
"00:09:08,000","00:09:10,000",بس لو كنت مكاني مش كنت حترضى,بس لو كنت مكاني مش كنت حترضى,"But if you were my place, you would not be satisfied",disappointment,moderate
"00:09:10,000","00:09:11,000",لا لا حرضى عادي,لا لا حرضى عادي,"No, no normal incitement",disapproval,mild
"00:09:11,000","00:09:12,000",لو كنت مكاني برضى,لو كنت مكاني برضى,If you were satisfied,curiosity,mild
"00:09:12,000","00:09:13,000",ما انتي جاي لعندي,ما انتي جاي لعندي,What are you coming to me?,confusion,moderate
"00:09:13,000","00:09:14,000",شو بدك فيها,شو بدك فيها,What do you want in it?,curiosity,mild
"00:09:15,000","00:09:16,000",بدنا نحكي انا وياكي شوي,بدنا نحكي انا وياكي شوي,We want to tell me and Shui,curiosity,mild
"00:09:17,000","00:09:18,000",ولو,ولو,Even,neutral,neutral
"00:09:22,000","00:09:23,000",كده,كده,Like this,neutral,neutral
"00:09:25,000","00:09:26,000",انت ما عارف حاجة اصلا,انت ما عارف حاجة اصلا,انت ما عارف حاجة اصلا,annoyance,moderate
"00:09:27,000","00:09:28,000",انا عارف,انا عارف,I know,neutral,neutral
"00:09:28,000","00:09:29,000",انا عارف القصة,انا عارف القصة,I know the story,neutral,neutral
"00:09:29,000","00:09:30,000",انا عارف القصة كلها,انا عارف القصة كلها,I know the whole story,realization,mild
"00:09:30,000","00:09:31,000",كمان,كمان,also,neutral,neutral
"00:09:31,000","00:09:32,000",كمان,كمان,also,neutral,neutral
"00:09:33,000","00:09:34,000",طب الحمدلله,طب الحمدلله,Praise be to God,gratitude,moderate
"00:09:35,000","00:09:36,000",اصلا اصلا,اصلا اصلا,At all,neutral,neutral
"00:09:36,000","00:09:38,000",انت عارف القصة كلها جايبني ليه,انت عارف القصة كلها جايبني ليه,"You know the whole story, why do you answer me",confusion,moderate
"00:09:38,000","00:09:41,000",جايبك لانه بدأ,جايبك لانه بدأ,He brought you because he started,realization,mild
"00:09:41,000","00:09:43,000",بعتتلك جواب بده اقرألك يا,بعتتلك جواب بده اقرألك يا,Answer,neutral,neutral
"00:09:44,000","00:09:45,000",خليني اقرألك هالجواب,خليني اقرألك هالجواب,Let me read you this answer,neutral,neutral
"00:09:46,000","00:09:47,000",وبعدين بحكي انا وياكي,وبعدين بحكي انا وياكي,وبعدين بحكي انا وياكي,neutral,neutral
"00:09:49,000","00:09:50,000",بتقلك صديقتي,بتقلك صديقتي,My girlfriend will give you,neutral,neutral
"00:09:51,000","00:09:52,000",وحبيبتي,وحبيبتي,And my sweetheart,love,mild
"00:09:54,000","00:09:55,000",مشاعر,مشاعر,feelings,neutral,neutral
"00:09:58,000","00:10:00,000",يعني حقا بتقلك لا اعرف,يعني حقا بتقلك لا اعرف,"I mean, I really do not know",confusion,moderate
"00:10:00,000","00:10:02,000",كيف أبدأ رسالتي إليك,كيف أبدأ رسالتي إليك,How do I start my message to you,nervousness,moderate
"00:10:03,000","00:10:04,000",فليس من السهل,فليس من السهل,It is not easy,neutral,neutral
"00:10:05,000","00:10:09,000",أن أكتب لأعز إنسانة لدي بعد أمي وأخوتي,أن أكتب لأعز إنسانة لدي بعد أمي وأخوتي,To write to my dearest person after my mother and brothers,love,intense
"00:10:10,000","00:10:12,000",وآية التي بدلاً من الحفاظ عليها,وآية التي بدلاً من الحفاظ عليها,And the verse that instead of preserving it,neutral,neutral
"00:10:13,000","00:10:13,000",ذهبت,ذهبت,I went,neutral,neutral
"00:10:14,000","00:10:15,000",بمنتهى قلة العقل,بمنتهى قلة العقل,With the end of the mind,confusion,mild
"00:10:16,000","00:10:17,000",للطعن فيها,للطعن فيها,To challenge it,optimism,moderate
"00:10:17,000","00:10:18,000",وتشويه سمعتها,وتشويه سمعتها,And distort its reputation,disapproval,moderate
"00:10:19,000","00:10:20,000",هي عم تقول هيك,هي عم تقول هيك,She says heck,annoyance,mild
"00:10:21,000","00:10:22,000",صديقة الحبيبة,صديقة الحبيبة,Girl's girlfriend,neutral,neutral
"00:10:24,000","00:10:25,000",طوال خمس سنوات كنت أفكر,طوال خمس سنوات كنت أفكر,For five years I was thinking,neutral,neutral
"00:10:26,000","00:10:28,000",ماذا سأفعل لو كنت مكانك,ماذا سأفعل لو كنت مكانك,What would I do if you were in your place,curiosity,moderate
"00:10:30,000","00:10:35,000",واتهمتني صديقة عمري بهذه الاتهامات الخطيرة,واتهمتني صديقة عمري بهذه الاتهامات الخطيرة,My girlfriend accused me of the serious accusations,anger,intense
"00:10:36,000","00:10:38,000",وكنت أصل دائماً لقناعة مفادها,وكنت أصل دائماً لقناعة مفادها,I was always up to the conviction that it,neutral,neutral
"00:10:39,000","00:10:41,000",أنني ربما لن أسامح,أنني ربما لن أسامح,I may not forgive,disapproval,moderate
"00:10:41,000","00:10:42,000",أبداً,أبداً,never,optimism,intense
"00:10:43,000","00:10:44,000",لكن هذا أنا,لكن هذا أنا,But this is me,neutral,neutral
"00:10:44,000","00:10:45,000",مشيرة,مشيرة,Indicating,neutral,neutral
"00:10:46,000","00:10:48,000",مشيرة التي تسرعت وأخطأت,مشيرة التي تسرعت وأخطأت,Noting that rushed and made a mistake,realization,mild
"00:10:49,000","00:10:51,000",وتعاملت بحماقة,وتعاملت بحماقة,Jeass progsentlation,confusion,moderate
"00:10:52,000","00:10:52,000",مع الأمر,مع الأمر,With the matter,neutral,neutral
"00:10:54,000","00:10:56,000",أما مشاعر صديقتي,أما مشاعر صديقتي,As for the feelings of my girlfriend,caring,mild
"00:10:57,000","00:10:59,000",فأنا أعرف أنها أطيب قلباً,فأنا أعرف أنها أطيب قلباً,I know it is the best heart,admiration,moderate
"00:11:00,000","00:11:02,000",وأكبر عقلاً مني,وأكبر عقلاً مني,And the greatest mind from me,admiration,moderate
"00:11:04,000","00:11:05,000",ويكفي,ويكفي,It is sufficient,neutral,neutral
"00:11:06,000","00:11:08,000",يكفي رعايتك,يكفي رعايتك,It is enough to care for you,caring,moderate
"00:11:08,000","00:11:10,000",لوالدتي يا مشاعر,لوالدتي يا مشاعر,"For my mother, my feelings",caring,mild
"00:11:11,000","00:11:14,000",وحرصك على إرسال حق الأنسلين إليها,وحرصك على إرسال حق الأنسلين إليها,And your keenness to send the right of insulin to it,gratitude,moderate
"00:11:15,000","00:11:16,000",لأعرف كم أنت كبيرة,لأعرف كم أنت كبيرة,To know how big you are,admiration,moderate
"00:11:17,000","00:11:18,000",وكم أنني صغيرة,وكم أنني صغيرة,How small I am,neutral,neutral
"00:11:19,000","00:11:22,000",أنا آسف يا صديقتي الحبيبة,أنا آسف يا صديقتي الحبيبة,"I am sorry, my beloved girlfriend",remorse,intense
"00:11:22,000","00:11:23,000",ولا أريد أبداً,ولا أريد أبداً,I never want,desire,mild
"00:11:24,000","00:11:25,000",أن أخسرك,أن أخسرك,To lose you,fear,intense
"00:11:26,000","00:11:27,000",كي أرد لك اعتبارك,كي أرد لك اعتبارك,To answer you,neutral,neutral
"00:11:28,000","00:11:30,000",وليعلم كل من يشاهدنا,وليعلم كل من يشاهدنا,And let everyone watch us,nervousness,moderate
"00:11:31,000","00:11:32,000",أنك أنظف,أنك أنظف,You are cleaner,admiration,moderate
"00:11:32,000","00:11:33,000",وأشرف,وأشرف,And the most honorable,admiration,moderate
"00:11:33,000","00:11:34,000",وأجمل,وأجمل,And the most beautiful,admiration,moderate
"00:11:34,000","00:11:35,000",وأكرم,وأكرم,And honor,admiration,moderate
"00:11:36,000","00:11:37,000",وأعظم صديقة,وأعظم صديقة,And the greatest girlfriend,admiration,intense
"00:11:40,000","00:11:43,000",وليعرف الجميع كذلك أنني آسف لك,وليعرف الجميع كذلك أنني آسف لك,Let everyone know that I am sorry for you,remorse,intense
"00:11:44,000","00:11:45,000",تقبل اعتذاري يا مشاعر,تقبل اعتذاري يا مشاعر,"Accept my apologies, feelings",remorse,intense
"00:11:46,000","00:11:47,000",بحق عشرة العمر,بحق عشرة العمر,Ten years old,neutral,neutral
"00:11:48,000","00:11:50,000",التي لن أفرد فيها ثانية,التي لن أفرد فيها ثانية,That I will not be singled out again,optimism,moderate
"00:11:51,000","00:11:51,000",وبحق,وبحق,Right,neutral,neutral
"00:11:52,000","00:11:53,000",نبلكي معي,نبلكي معي,Nabaki with me,desire,moderate
"00:11:54,000","00:11:56,000",حين اعتنيتي بي وبابنتي رهف,حين اعتنيتي بي وبابنتي رهف,When you took care of me and my daughter Rahaf,gratitude,intense
"00:11:57,000","00:11:58,000",لما مرضت,لما مرضت,When I fell ill,neutral,neutral
"00:12:00,000","00:12:02,000",ولنخرج من هنا سوياً,ولنخرج من هنا سوياً,Let's get out of here together,optimism,moderate
"00:12:02,000","00:12:03,000",لننهي خمس سنوات,لننهي خمس سنوات,Let's finish five years,optimism,moderate
"00:12:04,000","00:12:05,000",من الفرق,من الفرق,From the difference,neutral,neutral
"00:12:06,000","00:12:07,000",سامحيني,سامحيني,Forgive me,remorse,intense
"00:12:08,000","00:12:09,000",والمسامح كريم,والمسامح كريم,And forgiveness Karim,neutral,neutral
"00:12:27,000","00:12:29,000",اشتركوا في القناة,اشتركوا في القناة,Subscribe to the channel,neutral,neutral
"00:12:57,000","00:12:59,000",وتطلب منك السماح,وتطلب منك السماح,And you ask you to allow,neutral,neutral
"00:12:59,000","00:13:01,000",وتعيد لك اعتبارك,وتعيد لك اعتبارك,And return to you,desire,mild
"00:13:01,000","00:13:04,000",لانه هي معتبرة نفسها انه قذتك,لانه هي معتبرة نفسها انه قذتك,Because she is considering herself that he is your shell,confusion,moderate
"00:13:04,000","00:13:06,000",وانه شوهت سمعتك,وانه شوهت سمعتك,And it distorted your reputation,disapproval,moderate
"00:13:06,000","00:13:08,000",ووصل الخبر الى الخرطوم,ووصل الخبر الى الخرطوم,The news arrived in Khartoum,neutral,neutral
"00:13:08,000","00:13:10,000",والاهل في الخرطوم عرفوا,والاهل في الخرطوم عرفوا,And the people in Khartoum knew,neutral,neutral
"00:13:10,000","00:13:12,000",وانتي بريئة,وانتي بريئة,And you are innocent,relief,moderate
"00:13:12,000","00:13:14,000",من الظن والتهم,من الظن والتهم,I think and accusations,confusion,moderate
"00:13:14,000","00:13:16,000",اللي اتهمتك ياها,اللي اتهمتك ياها,اللي اتهمتك ياها,anger,moderate
"00:13:16,000","00:13:18,000",هذا السبب,هذا السبب,This is the reason,realization,mild
"00:13:18,000","00:13:20,000",مشيرة,مشيرة,Indicating,neutral,neutral
"00:13:20,000","00:13:22,000",تفضلي احكي لها,تفضلي احكي لها,Please tell her,neutral,neutral
"00:13:22,000","00:13:24,000",اللي جيتي لحتى تحكي تفضلي,اللي جيتي لحتى تحكي تفضلي,"Whoever comes to tell me, please",neutral,neutral
"00:13:24,000","00:13:26,000",بده تسمعك بالاول,بده تسمعك بالاول,Give the high -end,neutral,neutral
"00:13:27,000","00:13:31,000",محيش بقول لها معنيشة معاسفة,محيش بقول لها معنيشة معاسفة,Mohish by telling her a cohort,neutral,neutral
"00:13:31,000","00:13:35,000",وغلطت في حقها كتير,وغلطت في حقها كتير,وغلطت في حقها كتير,remorse,intense
"00:13:35,000","00:13:39,000",وابتبعت سمحت كلام الناس,وابتبعت سمحت كلام الناس,And I followed the words of the people,neutral,neutral
"00:13:39,000","00:13:41,000",والحاجات اللي وصلتني بي,والحاجات اللي وصلتني بي,والحاجات اللي وصلتني بي,neutral,neutral
"00:13:41,000","00:13:43,000",انها فعلا مزنبة في حقي,انها فعلا مزنبة في حقي,It is really bleached in my right,confusion,mild
"00:13:43,000","00:13:45,000",فانا اللي ازنبت في حقها,فانا اللي ازنبت في حقها,فانا اللي ازنبت في حقها,remorse,intense
"00:13:45,000","00:13:47,000",وبطلب انها سامحني,وبطلب انها سامحني,And he asked she forgive me,remorse,moderate
"00:13:47,000","00:13:49,000",لانها اكبر من كده,لانها اكبر من كده,لانها اكبر من كده,admiration,mild
"00:13:51,000","00:13:53,000",مشاعر فيه ناس,مشاعر فيه ناس,Feelings of people,neutral,neutral
"00:13:53,000","00:13:55,000",سيئين احيانا,سيئين احيانا,Sometimes sometimes,neutral,neutral
"00:13:55,000","00:13:57,000",بيخربوا بيوت الناس,بيخربوا بيوت الناس,They ruined people's homes,anger,intense
"00:13:57,000","00:13:59,000",يمكن ست بتغار منك ومنا,يمكن ست بتغار منك ومنا,You can be tempted by you and from us,curiosity,mild
"00:13:59,000","00:14:01,000",ومن علاقتكن,ومن علاقتكن,And from your relationship,neutral,neutral
"00:14:01,000","00:14:03,000",بتنقل كلام وبتنقل اخبار,بتنقل كلام وبتنقل اخبار,بتنقل كلام وبتنقل اخبار,disapproval,moderate
"00:14:03,000","00:14:05,000",وبتنقل اصاص,وبتنقل اصاص,وبتنقل اصاص,disapproval,moderate
"00:14:05,000","00:14:07,000",بس بيصير,بس بيصير,بس بيصير,neutral,neutral
"00:14:07,000","00:14:09,000",يعني بيصير احيانا,يعني بيصير احيانا,"I mean, sometimes it becomes",neutral,neutral
"00:14:09,000","00:14:11,000",اشياء ظلم على الانسان,اشياء ظلم على الانسان,Things of injustice to man,anger,intense
"00:14:11,000","00:14:13,000",بقى خمس سنوات,بقى خمس سنوات,He stayed five years,neutral,neutral
"00:14:13,000","00:14:15,000",ورجعت صحيت,ورجعت صحيت,And I woke up,neutral,neutral
"00:14:15,000","00:14:17,000",على وضعها,على وضعها,To put it,neutral,neutral
"00:14:17,000","00:14:19,000",وعلى عاطفتها تجاهك,وعلى عاطفتها تجاهك,And on her affection towards you,caring,mild
"00:14:19,000","00:14:21,000",وجاي امام ملايين الناس,وجاي امام ملايين الناس,And Jay in front of millions of people,nervousness,moderate
"00:14:21,000","00:14:23,000",بتقلك انا بسامحيني,بتقلك انا بسامحيني,"I will see you, I forgive me",remorse,moderate
"00:14:23,000","00:14:25,000",انا اعتذر وانتي انا اخطأت بحقك,انا اعتذر وانتي انا اخطأت بحقك,I apologize and I made a mistake in your right,remorse,intense
"00:14:25,000","00:14:27,000",وانتي كريمة وانتي شريفة,وانتي كريمة وانتي شريفة,And you are generous and you are honorable,admiration,mild
"00:14:27,000","00:14:29,000",وانتي جميلة,وانتي جميلة,And you are beautiful,admiration,mild
"00:14:29,000","00:14:31,000",وانتي الى اخرين,وانتي الى اخرين,And you are to others,neutral,neutral
"00:14:31,000","00:14:33,000",سمعتيها بالرسالة,سمعتيها بالرسالة,You heard it with the message,neutral,neutral
"00:14:33,000","00:14:35,000",بس كان فين ده من اول,بس كان فين ده من اول,But where was this from the first?,confusion,moderate
"00:14:35,000","00:14:37,000",نعم,نعم,Yes,neutral,neutral
"00:14:37,000","00:14:39,000",كان فين ده من اول لما اتهمتني,كان فين ده من اول لما اتهمتني,كان فين ده من اول لما اتهمتني,anger,intense
"00:14:39,000","00:14:41,000",كان فين,كان فين,Where was where,confusion,moderate
"00:14:41,000","00:14:43,000",اللي يعرفك ما بيتهمني,اللي يعرفك ما بيتهمني,اللي يعرفك ما بيتهمني,neutral,neutral
"00:14:43,000","00:14:45,000",صحيح,صحيح,Right,neutral,neutral
"00:14:45,000","00:14:47,000",بس في ناس دخلوا,بس في ناس دخلوا,But in people they entered,annoyance,moderate
"00:14:47,000","00:14:49,000",ليه انا ما قدتني فرصة,ليه انا ما قدتني فرصة,Why I did not have a chance,disappointment,moderate
"00:14:49,000","00:14:51,000",عشان انا ابرر,عشان انا ابرر,عشان انا ابرر,annoyance,moderate
"00:14:51,000","00:14:53,000",انا لو ظلمتك في حاجة سمحت,انا لو ظلمتك في حاجة سمحت,Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.,neutral,neutral
"00:14:53,000","00:14:55,000",وفتنة وكده,وفتنة وكده,وفتنة وكده,disapproval,moderate
"00:14:55,000","00:14:57,000",زي ما قال الرسول عليه الصلاة والسلام,زي ما قال الرسول عليه الصلاة والسلام,"Like what the Messenger, peace and blessings be upon him, said",admiration,mild
"00:14:57,000","00:14:59,000",اذا جاءكم فاحس بنبى,اذا جاءكم فاحس بنبى,"If he comes to you, feel a prophet",curiosity,mild
"00:14:59,000","00:15:01,000",فتبينوه صح,فتبينوه صح,"So show it, right",neutral,neutral
"00:15:01,000","00:15:03,000",انتصيبوا قوما بجهالة,انتصيبوا قوما بجهالة,Funny people in ignorance,amusement,mild
"00:15:03,000","00:15:05,000",فتصبحوا على مفاعلتهم نادمين,فتصبحوا على مفاعلتهم نادمين,So you will be on their effect as regret,remorse,moderate
"00:15:05,000","00:15:07,000",هي هيك صار,هي هيك صار,She is the heck,confusion,mild
"00:15:07,000","00:15:09,000",طيب ليه ما قدتني فرصة عشان ابرر لها,طيب ليه ما قدتني فرصة عشان ابرر لها,طيب ليه ما قدتني فرصة عشان ابرر لها,annoyance,intense
"00:15:09,000","00:15:11,000",انه هما كانوا غلطانين,انه هما كانوا غلطانين,They were wrong,disapproval,moderate
"00:15:11,000","00:15:13,000",وهي غلطانة حتى,وهي غلطانة حتى,It is even wrong,disapproval,moderate
"00:15:13,000","00:15:15,000",نعم هي ندمت,نعم هي ندمت,"Yes, she regretted",remorse,mild
"00:15:15,000","00:15:17,000",وشعرت بندمها,وشعرت بندمها,And I felt her regret,remorse,mild
"00:15:17,000","00:15:19,000",واجت الى هذا الستوديو,واجت الى هذا الستوديو,I was to this studio,neutral,neutral
"00:15:19,000","00:15:21,000",امام ملايين الناس,امام ملايين الناس,In front of millions of people,nervousness,moderate
"00:15:21,000","00:15:23,000",لحتى تعتذر لك,لحتى تعتذر لك,To apologize to you,remorse,moderate
"00:15:23,000","00:15:25,000",انت عارف هي قالت علي,انت عارف هي قالت علي,You know she said to me,curiosity,mild
"00:15:25,000","00:15:27,000",مش عارف ما بدي اعرف,مش عارف ما بدي اعرف,I don’t know what I want to know,confusion,moderate
"00:15:27,000","00:15:29,000",ليه معشان تعرف حقبي الجرح اللي انا فيه,ليه معشان تعرف حقبي الجرح اللي انا فيه,ليه معشان تعرف حقبي الجرح اللي انا فيه,sadness,intense
"00:15:29,000","00:15:31,000",ماعرف ماعرف انه قالت اشياء كتير,ماعرف ماعرف انه قالت اشياء كتير,ماعرف ماعرف انه قالت اشياء كتير,confusion,moderate
"00:15:31,000","00:15:33,000",واتهمتك بعلاقة مع زوجها,واتهمتك بعلاقة مع زوجها,I accused you of a relationship with her husband,anger,intense
"00:15:33,000","00:15:35,000",اني بكلمه من وراها,اني بكلمه من وراها,I am talking about it,neutral,neutral
"00:15:35,000","00:15:37,000",وانا اصلا ماعنديش رغمه حتى,وانا اصلا ماعنديش رغمه حتى,وانا اصلا ماعنديش رغمه حتى,disapproval,mild
"00:15:37,000","00:15:39,000",ماعرفش رغمه انا كنت بتكلم معاه,ماعرفش رغمه انا كنت بتكلم معاه,"I don’t know despite him, I was talking to him",confusion,moderate
"00:15:39,000","00:15:41,000",وكانت بتديهوله على التليفون بتاعه,وكانت بتديهوله على التليفون بتاعه,She was turning on the phone on the phone,annoyance,mild
"00:15:41,000","00:15:43,000",على الخط بتاعه,على الخط بتاعه,On his line,neutral,neutral
"00:15:43,000","00:15:45,000",كل انسان بيغلط,كل انسان بيغلط,Every person is wrong,realization,mild
"00:15:45,000","00:15:47,000",طيب وليه ما قدتني فرصة عشان انا ابرر لها,طيب وليه ما قدتني فرصة عشان انا ابرر لها,طيب وليه ما قدتني فرصة عشان انا ابرر لها,annoyance,moderate
"00:15:47,000","00:15:49,000",انا ما اعملت كده طيب اسمعيني يا ستي,انا ما اعملت كده طيب اسمعيني يا ستي,"I did not work like that, listen to me, City",annoyance,moderate
"00:15:49,000","00:15:51,000",انا peak لك تفاصيل مكالماتي من الشرك,انا peak لك تفاصيل مكالماتي من الشرك,I am Peak for you details of my calls from polytheism,confusion,moderate
"00:15:51,000","00:16:13,000",بتاعتي الاتصالات عشان تتأكد,بتاعتي الاتصالات عشان تتأكد,بتاعتي الاتصالات عشان تتأكد,neutral,neutral
"00:16:13,000","00:16:15,000",انا مديت لك مادية فرصة عشان تدافع عن,انا مديت لك مادية فرصة عشان تدافع عن,I have a material for you to defend,neutral,neutral
"00:16:15,000","00:16:21,000",نفسك طيب انا كمان ما عايز اديها فرصة عشان تصالحني,نفسك طيب انا كمان ما عايز اديها فرصة عشان تصالحني,نفسك طيب انا كمان ما عايز اديها فرصة عشان تصالحني,annoyance,moderate
"00:16:21,000","00:16:23,000",بجد انا بتكلم معاك انا مش عايزة اصالحك,بجد انا بتكلم معاك انا مش عايزة اصالحك,"Seriously, I am talking to you, I do not want to receive you",anger,intense
"00:16:23,000","00:16:25,000",بس انتي قلبك قاسي انتي هلقد,بس انتي قلبك قاسي انتي هلقد,"But you are your heart is cruel, you are lost",anger,intense
"00:16:25,000","00:16:28,000",انا قلبي مش قاسي بس ربنا قال,انا قلبي مش قاسي بس ربنا قال,"I am my heart, I am not cruel, but our Lord said",neutral,neutral
"00:16:28,000","00:16:30,000",العفو عند المغدرة,العفو عند المغدرة,Pardon,neutral,neutral
"00:16:30,000","00:16:31,000",ايوه صح,ايوه صح,"Oh, right",realization,mild
"00:16:31,000","00:16:32,000",من العفو او اصلح فأجروا على,من العفو او اصلح فأجروا على,Who pardoned or fixed,neutral,neutral
"00:16:32,000","00:16:34,000",كمان قال العفو عند المغدرة,كمان قال العفو عند المغدرة,He also said pardon at the absence,neutral,neutral
"00:16:34,000","00:16:36,000",تعرفي عنوان البرنامج شوه,تعرفي عنوان البرنامج شوه,Know the address of the program distorted,confusion,mild
"00:16:36,000","00:16:39,000",المسامح كريم,المسامح كريم,Forgiving Karim,neutral,neutral
"00:16:39,000","00:16:42,000",العفو عند المغدرة وانا ما عندي مغدرة اصالح,العفو عند المغدرة وانا ما عندي مغدرة اصالح,العفو عند المغدرة وانا ما عندي مغدرة اصالح,disappointment,moderate
"00:16:42,000","00:16:44,000",بجد,بجد,seriously,neutral,neutral
"00:16:44,000","00:16:46,000",انا ممكن اصالحك واسامحك,انا ممكن اصالحك واسامحك,I can wonder you and forgive you,neutral,neutral
"00:16:46,000","00:16:48,000",ازعل منك يومين تلاتة وادر اسامحك,ازعل منك يومين تلاتة وادر اسامحك,"I am upset with two days, and I forgive you",neutral,neutral
"00:16:48,000","00:16:50,000",حسب الموضوع يعني,حسب الموضوع يعني,"According to the topic, I mean",neutral,neutral
"00:16:50,000","00:16:52,000",لكن موضوع كبير زي كده واروح اصالحك,لكن موضوع كبير زي كده واروح اصالحك,لكن موضوع كبير زي كده واروح اصالحك,annoyance,moderate
"00:16:52,000","00:16:54,000",على طول اقولك العفو عند المغدرة,على طول اقولك العفو عند المغدرة,"Along you, I am pardoning you at the absence",neutral,neutral
"00:16:54,000","00:16:56,000",لا اقولك المسامح كريم,لا اقولك المسامح كريم,I do not tell you to forgive Karim,neutral,neutral
"00:16:56,000","00:16:58,000",وخد سامحني,وخد سامحني,And he gave me forgiveness,gratitude,mild
"00:16:58,000","00:16:59,000",طيب واللي جوه,طيب واللي جوه,طيب واللي جوه,curiosity,mild
"00:16:59,000","00:17:01,000",اسامحها من لساني يعني,اسامحها من لساني يعني,"I forgive her from my tongue, I mean",neutral,neutral
"00:17:01,000","00:17:02,000",مش حير,مش حير,I am not confused,neutral,neutral
"00:17:02,000","00:17:03,000",لا لا,لا لا,No no,neutral,neutral
"00:17:03,000","00:17:04,000",لازم اسامح من قلبي,لازم اسامح من قلبي,I need to forgive my heart,realization,mild
"00:17:04,000","00:17:05,000",نعم بس,نعم بس,"Yes, just",neutral,neutral
"00:17:05,000","00:17:07,000",سلاما انا قلبي مش نظيف مش هسامح,سلاما انا قلبي مش نظيف مش هسامح,سلاما انا قلبي مش نظيف مش هسامح,,
"00:17:07,000","00:17:09,000",اه لا اذا قلبك مش نظيف ما تسامحي,اه لا اذا قلبك مش نظيف ما تسامحي,"Uh, no, if your heart is not clean, you will not forgive",realization,mild
"00:17:09,000","00:17:10,000",طيب,طيب,good,neutral,neutral
"00:17:10,000","00:17:11,000",اذا ما عنديك هلق,اذا ما عنديك هلق,If you have a hate,anger,mild
"00:17:12,000","00:17:14,000",بس انا قلبي مجروح,بس انا قلبي مجروح,But my heart is wounded,sadness,intense
"00:17:14,000","00:17:16,000",انا مش عارفة اكلمها,انا مش عارفة اكلمها,انا مش عارفة اكلمها,confusion,moderate
"00:17:16,000","00:17:18,000",حتى انا مش قادرة ابص عليها على الشاشة,حتى انا مش قادرة ابص عليها على الشاشة,Even I am not able to look at it on the screen,disappointment,moderate
"00:17:18,000","00:17:19,000",شاعر,شاعر,Poet,neutral,neutral
"00:17:19,000","00:17:22,000",ما بقى عندك اي مشاعر تجاهها,ما بقى عندك اي مشاعر تجاهها,You have no feelings towards it,disapproval,moderate
"00:17:23,000","00:17:24,000",كل حاجة خمدت,كل حاجة خمدت,كل حاجة خمدت,sadness,intense
"00:17:24,000","00:17:25,000",خلص,خلص,Get rid of,annoyance,mild
"00:17:25,000","00:17:26,000",كل حاجة ماتت,كل حاجة ماتت,كل حاجة ماتت,grief,intense
"00:17:26,000","00:17:27,000",نسيتيها يعني,نسيتيها يعني,You forget it means,disappointment,mild
"00:17:27,000","00:17:29,000",هي نسيت باعتبارها ماتت,هي نسيت باعتبارها ماتت,She forgot as she died,grief,intense
"00:17:29,000","00:17:30,000",اه تعتبرها ماتت,اه تعتبرها ماتت,"Uh, you consider it dead",disapproval,moderate
"00:17:30,000","00:17:32,000",بكيت عليها باعتبار انه اعز صديقة,بكيت عليها باعتبار انه اعز صديقة,I cried on her as he is the dearest friend,grief,intense
"00:17:32,000","00:17:34,000",واعز اختي اللي ماتت,واعز اختي اللي ماتت,واعز اختي اللي ماتت,grief,intense
